iter	Logloss
0	0.6824370908
1	0.6749961029
2	0.6669364535
3	0.661411554
4	0.6563192018
5	0.6503926309
6	0.6463059976
7	0.6422954434
8	0.636666383
9	0.6298646882
10	0.6236139575
11	0.6195029675
12	0.6137834289
13	0.6112686659
14	0.6086083354
15	0.6043609476
16	0.6006410984
17	0.5942388185
18	0.5916225093
19	0.5900305806
20	0.5872604298
21	0.5807995147
22	0.5784612665
23	0.5745084521
24	0.5691051215
25	0.5669183865
26	0.5637957076
27	0.5615482241
28	0.5589546598
29	0.5537310676
30	0.5524316707
31	0.5524014755
32	0.5506428822
33	0.5496066098
34	0.5449809759
35	0.5418325433
36	0.5395004201
37	0.5347014951
38	0.5323113813
39	0.5285274165
40	0.5262180024
41	0.5221947683
42	0.5179286473
43	0.5134785254
44	0.5097496498
45	0.5066162969
46	0.5057343317
47	0.5045666045
48	0.5023789025
49	0.4982983227
50	0.4944157847
51	0.4900468638
52	0.4876402376
53	0.4846523088
54	0.4809036613
55	0.4783713471
56	0.4766097091
57	0.4742185566
58	0.4714119781
59	0.4658861474
60	0.4634994722
61	0.4603962786
62	0.4555246774
63	0.4519979271
64	0.4492222961
65	0.4473280213
66	0.4436472861
67	0.4420570051
68	0.4404690165
69	0.4377149125
70	0.4359241181
71	0.4345172291
72	0.4310505827
73	0.4297843181
74	0.4275009084
75	0.4242325545
76	0.4226834651
77	0.4203763433
78	0.4181807254
79	0.4162435397
80	0.4127244546
81	0.4097916151
82	0.4073663989
83	0.4059627694
84	0.4024703693
85	0.3997901236
86	0.3967645493
87	0.3952058962
88	0.3925241103
89	0.3892555058
90	0.3875293642
91	0.3848730096
92	0.3820674341
93	0.379153865
94	0.3770498356
95	0.373638171
96	0.3712277838
97	0.3681168892
98	0.3665595256
99	0.3634528935
100	0.3599745343
101	0.3566010524
102	0.3539326269
103	0.3504645836
104	0.3479448059
105	0.3441789654
106	0.3417187543
107	0.3395234229
108	0.3377535108
109	0.3366387954
110	0.3342455654
111	0.3302999147
112	0.3270451362
113	0.3253979392
114	0.323152569
115	0.3215824897
116	0.3197945608
117	0.3171014204
118	0.314364581
119	0.3119824906
120	0.3093456215
121	0.307636064
122	0.3057692264
123	0.3035520455
124	0.3022756084
125	0.3011298023
126	0.2987694718
127	0.2969785162
128	0.2950712034
129	0.2925276779
130	0.2915439158
131	0.288452435
132	0.2859173985
133	0.2843734311
134	0.2798160678
135	0.2773055672
136	0.2762894608
137	0.2744594449
138	0.2725219368
139	0.2714533918
140	0.2695928762
141	0.2667447659
142	0.2654605919
143	0.2630274956
144	0.2617465095
145	0.260594471
146	0.2590230127
147	0.257289582
148	0.2558600197
149	0.2545417463
150	0.2530751833
151	0.2523723119
152	0.2509491612
153	0.2501473942
154	0.2473927529
155	0.2461289598
156	0.2452755601
157	0.2423524275
158	0.241407475
159	0.2405682058
160	0.2397908314
161	0.2379962044
162	0.2357007774
163	0.2340883425
164	0.2325597593
165	0.2315377965
166	0.2298856923
167	0.2283589538
168	0.2267586077
169	0.2250586854
170	0.2230199357
171	0.2215980566
172	0.2208399526
173	0.2200160138
174	0.2183750851
175	0.2180059908
176	0.2161050716
177	0.2144296852
178	0.2129242946
179	0.211697968
180	0.2103193041
181	0.2095452609
182	0.2084257636
183	0.2074446701
184	0.2064002668
185	0.2055088813
186	0.2047250237
187	0.2032981837
188	0.2018396798
189	0.2007616965
190	0.1999444021
191	0.1988849192
192	0.1971312151
193	0.1958443189
194	0.1943591122
195	0.1936886031
196	0.1920225833
197	0.1903143511
198	0.1893941494
199	0.1883301533
