iter	Passed	Remaining
0	27	5689
1	45	4723
2	64	4431
3	82	4227
4	104	426355	154	52166	186	5390
7	220	5531
8	253	5639
99	278	5539110	323	5816111	373	6125
12	413	6232
13	445	6202
14	479	6206
15	516	6232
16	543	6143
17	566	6014
18	597	5970
19	633	5989
20	665	5953
21	691	5874
22	722	5844
23	748	5765
24	771	5681
25	793	5584
26	818	5515
27	843	5449
28	861	5347
29	877	5233
30	896	5145
31	915	5064
32	933	4980
33	949	4886
34	969	4818
35	986	4738
36	1004	4670
37	1023	4604
38	1039	4529
39	1052	4448
40	1066	4368
41	1078	4287
42	1088	4201
43	1099	4124
44	1111	4050
45	1123	3979
46	1134	3910
47	1148	3850
48	1160	3788
49	1171	3726
50	1183	3667
51	1194	3606
52	1205	3546
53	1216	3491
54	1226	3435
55	1237	3380
56	1247	3326
57	1258	3277
58	1271	3233
59	1282	3185
60	1332	3233
61	1344	3188
62	1356	3143
63	1367	3097
64	1378	3053
65	1389	3010
66	1401	2970
67	1413	2930
68	1425	2892
69	1437	2854
70	1448	2815
71	1460	2778
72	1472	2742
73	1484	2708
74	1495	2672
75	1507	2638
76	1519	2604
77	1531	2572
78	1542	2538
79	1553	2505
80	1565	2473
81	1575	2440
82	1587	2410
83	1600	2381
84	1611	2350
85	1623	2321
86	1634	2292
87	1647	2265
88	1660	2238
89	1672	2211
90	1684	2184
91	1697	2158
92	1708	2130
93	1720	2104
94	1731	2078
95	1743	2052
96	1755	2026
97	1767	2002
98	1779	1977
99	1792	1953
100	1807	1932
101	1820	1909
102	1834	1887
103	1849	1867
104	1865	1847
105	1880	1826
106	1896	1807
107	1912	1788
108	1933	1773
109	1949	1754
110	1965	1734
111	1979	1714
112	1989	1690
113	2005	1671
114	2021	1652
115	2036	1632
116	2051	1613
117	2064	1592
118	2079	1572
119	2094	1553
120	2109	1534
121	2125	1516
122	2139	1496
123	2155	1477
124	2170	1458
125	2184	1438
126	2198	1419
127	2213	1400
128	2226	1380
129	2244	1363
130	2259	1345
131	2273	1326
132	2287	1307
133	2301	1288
134	2315	1269
135	2329	1250
136	2343	1231
137	2357	1213
138	2371	1194
139	2384	1175
140	2398	1156
141	2412	1138
142	2426	1120
143	2439	1101
144	2452	1082
145	2465	1063
146	2479	1045
147	2493	1027
148	2505	1009
149	2519	990
150	2532	972
151	2544	954
152	2559	936
153	2573	919
154	2587	901
155	2602	884
156	2616	866
157	2630	849
158	2643	831
159	2656	813
160	2671	796
161	2685	779
162	2699	761
163	2712	744
164	2727	727
165	2742	710
166	2756	693
167	2770	676
168	2784	659
169	2798	641
170	2811	624
171	2825	607
172	2839	590
173	2852	573
174	2866	556
175	2882	540
176	2897	523
177	2911	507
178	2925	490
179	2940	473
180	2952	456
181	2965	439
182	2979	423
183	2993	406
184	3006	390
185	3020	373
186	3033	356
187	3046	340
188	3061	324
189	3076	307
190	3090	291
191	3101	274
192	3113	258
193	3127	241
194	3141	225
195	3152	209
196	3164	192
197	3175	176
198	3184	160
199	3192	143
200	3201	127
201	3208	111
202	3216	95
203	3223	78
204	3230	63
205	3238	47
206	3243	31
207	3249	15
208	3254	0

